examType;section;part;themeName;name;questions
general;speaking;1;Home & Hometown;Accommodation;"Do you live in a house or an apartment/flat?
Can you describe the place where you live?
What do you like about living there? What do you like about your flat?
Which is your favourite room in your home? Why?
Which room does your family spend most time in?
What can you see from the windows?
Would you change anything about your home? Why/why not?
Would you like to move to a different home in the future?
What sort of accommodation would you most like to live in?"
general;speaking;1;Home & Hometown;Home decoration;"What kind of decoration do you prefer?
How is your home decorated?
What is your favorite color when decorating your home?
What colour would you never use in your home?
What colour would you choose to paint the walls of your room?
Do people in your country like redecorating their homes?
What is the new decorating trend for this year?"
general;speaking;1;Home & Hometown;Hometown;"Tell me about your hometown.
What’s your hometown known for?
Do you like your hometown?
Is it big or small?
How long have you been living there?
Do you think you’ll continue living there for a long time?
How has your town changed in the last 20 years?"
general;speaking;1;Home & Hometown;Your Country;"Where is your country located?
Which part of your country do most people live in?
What are the main industries in your country?
What are some of the good things about living in your country?
What are some of the bad things about living in your country?
What makes you feel proud of your country?
Will you stay in your country in the future?"
general;speaking;1;Places;Crowded Places;"How do you feel when you go to crowded places?
What kinds of places are often crowded in your area?
When was the last time you were in a crowded place?
Do you like going to crowded places?
Why do you think some people don’t like crowded places?"
general;speaking;1;Places;Geography;"Were you interested in geography when you were younger?
Do you think you are good at geography?
Is geography an important subject to study at school?
What aspect of geography do you find the most interesting?
Do you think studying geography can help people understand current global issues?"
general;speaking;1;Places;Libraries;"Do you often go to the library?
Did you go to a library when you were a kid?
What do you usually do in the library?
What kind of people go to libraries to work or study?
Are libraries popular in your country?"
general;speaking;1;Places;Museums;"Do you think museums are important?
Are there many museums in your hometown?
Do you like to visit museums?
How often do you go to museums?
When was the last time you visited a museum?
Did you visit museums when you were a child?
Why is it boring for children to go to museums?
How can we make museums interesting for children?"
general;speaking;1;Nature, Animals & The Environment;Wild Animals;"What’s your favourite wild animal?
Are there many wild animals in your country?
Have you ever seen wild animals?
Where can you see wild animals in your area?
Do you like seeing animals in the zoo?
"
general;speaking;1;Nature, Animals & The Environment;Rain;"Do you prefer rainy or sunny days?
What do you do on rainy days?
What do you usually do when it starts to rain outside?
Do you ever think that rain is good?
How does rain affect your life in your country?
Is there any part of the country where it doesn’t rain much?"
general;speaking;1;Nature, Animals & The Environment;Outer Space and Stars;"Do you enjoy looking at the stars?
Have you ever learned about outer space and stars?
Are you interested in films about outer space and stars?
Can you see many stars at night where you live?
Is it important to study stars?
Would you ever like to go into space?
What would you do if you had a chance to go there?"
general;speaking;1;Nature, Animals & The Environment;Weather;"What’s the weather usually like in your hometown?
What’s your favourite weather?
Do you like the weather in your hometown?
Do you like hot or dry weather?
What do you do in hot weather?
Do you prefer hot or cold weather?
Do you prefer wet or dry weather?"
general;speaking;1;Travel & Transport;Transportation;"What’s the most popular form of transportation in your country?
How do you normally get to work or school?
Are there many traffic problems in your area?
How do you think you could improve public transport in your area?
Do most people use private or public transport in your area?"
general;speaking;1;Travel & Transport;Public Transport/ Transportation;"Do you often use public transportation?
Did you take public transport when you were a child?
Do most people prefer public transport?
What's the most popular means of transport in your hometown?
Is driving to work popular in your country?
Will you use public transport more in the future?
Are there any traffic problems in your area?
How would you improve transport in your town?"
general;speaking;1;Travel & Transport;Travel;"Do you enjoy travelling? [Why? / Why not?]
Have you done much travelling? [Why? / Why not?]
Do you think it’s better to travel alone or with other people? [Why?]
Where would you like to travel in the future? [Why?]"
general;speaking;1;Travel & Transport;Travel habits;"What form of transport do you prefer to use? Why?
How much time do you spend travelling on a normal day?
What do you do while you are travelling?
Do you ever have problems with transport?"
general;speaking;1;Family, friends & Other people;Celebrities;"Who is your favourite celebrity in your country?
Would you ever like to be famous?
Do you often read news about celebrities?
Have you ever met a celebrity face to face?"
general;speaking;1;Family, friends & Other people;Chatting;"What do you like to talk about with your friends?
Do you prefer chatting face to face or on the phone?
Do you talk about the same things you did when you were younger?
Where are some places where you like to chat with your friends?
Do you think some people chat too much?"
general;speaking;1;Family, friends & Other people;Helping others;"Do you usually help people during the week?
Is it normal to help strangers in your country?
Did your parents teach you how to help others?
Did you get a lot of help from other people when you were a kid?
Is it normal to help your neighbours in your country?"
general;speaking;1;Family, friends & Other people;Friends;"What do you do together with your friends?
Do you prefer to have a big or small group of friends?
What kinds of people do you like to have as friends?
Do you prefer to spend time alone or with friends?"
general;speaking;1;Family, friends & Other people;Names;"Do you like your name?
Does your name have any special meaning?
Do people in your country ever change their names?
Are there any traditions about naming children in your country?
Would you ever consider changing your name?"
general;speaking;1;Scools & Studies;Teachers;"Would you ever like to be a teacher?
Do you think you could be a teacher?
Did you have a favourite teacher at school?
Would you say that you were a good student at school?
Have you ever had a teacher that you didn’t like?"
general;speaking;1;Scools & Studies;Schools;"Did you go to a good school?
Where did you go to school?
Did you like your teachers?
Is there anything you want to change about your school?
What are the differences between your school and other schools?
Did you like the current learning atmosphere at your school?
What are the differences between your school and other schools?
Is there anything you want to change about your school?"
general;speaking;1;Scools & Studies;School;"Where did (do) you go to school?
Do you like your teachers?
Do you like your current learning atmosphere?
What are the differences between your school and other schools?
Is there anything you want to change about your school?"
general;speaking;1;Scools & Studies;Languages;"What foreign languages have you studied?
Would you like to learn any new languages?
Did you study a foreign language when you were at school?
Do you find it difficult to learn new languages?"
